month,bill_label,period_start,period_end,elec_kwh,rate,elec_pretax,gst,current_charges,geneco_rebate,usave_deduction,total_payable
2025-03,Mar 2025,2025-02-05,2025-03-05,553,0.2620,144.89,13.04,157.93,0.00,0.00,157.93
2025-04,Apr 2025,2025-03-06,2025-04-06,484,0.2620,126.81,11.41,138.22,0.00,19.51,118.71
2025-05,May 2025,2025-04-07,2025-05-06,618,0.2620,161.92,14.57,176.49,0.00,0.00,176.49
2025-06,Jun 2025,2025-05-07,2025-06-06,392,0.2620,102.70,9.24,111.94,0.00,0.00,111.94
2025-07,Jul 2025,2025-06-07,2025-07-06,724,0.2620,189.69,17.07,206.76,0.00,39.44,167.32
2025-08,Aug 2025,2025-07-07,2025-08-05,849,0.2620,192.44,17.32,209.76,30.00,0.00,209.76
2025-09,Sep 2025,2025-08-06,2025-09-06,658,0.2467,162.29,14.60,176.89,0.00,0.00,176.89
2025-10,Oct 2025,2025-09-07,2025-10-06,680,0.2438,165.78,14.92,180.70,0.00,0.00,180.70
2025-11,Nov 2025,2025-10-07,2025-11-06,705,0.2438,171.88,15.47,187.35,0.00,0.00,187.35
2025-12,Dec 2025,2025-11-07,2025-12-04,409,0.2438,99.71,8.97,108.68,0.00,0.00,108.68
2026-01,Jan 2026,2025-12-05,2026-01-06,596,0.2438,145.30,13.08,158.38,0.00,0.00,158.38
2026-02,Feb 2026,2026-01-07,2026-02-03,507,0.2438,123.61,11.12,134.73,0.00,0.00,134.73
2026-03,Mar 2026,2026-02-04,2026-03-06,386,0.2438,94.11,8.47,102.58,0.00,0.00,102.58
2026-04,Apr 2026,2026-03-07,2026-04-05,698,0.2438,170.17,15.32,185.49,0.00,0.00,185.49
2026-05,May 2026,2026-04-06,2026-05-06,822,0.2438,200.40,18.04,218.44,0.00,0.00,218.44
2026-06,Jun 2026,2026-05-07,2026-06-04,232,0.2438,56.56,5.09,61.65,0.00,0.00,61.65
2026-07,Jul 2026,2026-06-05,2026-07-06,642,0.2438,156.52,14.09,170.61,0.00,59.10,111.51
