month,bill_label,period_start,period_end,water_cum,gas_kwh,water_cost,gas_cost,refuse_cost,others_cost,gst,total_current_charges,usave_deduction,total_payable,is_estimated,water_meter,gas_meter
2025-06,Jun 2025,2025-05-07,2025-06-04,6.8,113,22.00,25.68,9.36,0,5.14,62.18,0,62.18,False,2156.9,1109
2025-07,Jul 2025,2025-06-05,2025-07-06,15.8,181,51.11,40.96,9.36,0,9.13,110.56,150,0.00,True,,
2025-08,Aug 2025,2025-07-07,2025-08-05,23.7,222,76.68,49.56,9.36,0,12.20,147.80,0,147.80,False,2196.4,1187
2025-09,Sep 2025,2025-08-06,2025-09-06,20.4,207,66.00,46.12,9.36,0,10.93,132.41,0,132.41,True,,
2025-10,Oct 2025,2025-09-07,2025-10-06,25.9,320,83.78,71.33,9.36,0,14.80,179.27,150,29.27,False,2242.7,1289
2025-11,Nov 2025,2025-10-07,2025-11-06,23.2,263,75.06,58.78,9.36,0,12.89,156.09,0,156.09,True,,
2025-12,Dec 2025,2025-11-07,2025-12-04,18.3,259,59.20,57.89,9.36,0,11.39,137.84,0,137.84,False,2284.2,1390
2026-01,Jan 2026,2025-12-05,2026-01-06,23.2,289,75.06,64.22,9.36,0,13.38,162.02,150,12.02,True,,
2026-02,Feb 2026,2026-01-07,2026-02-03,25.0,280,80.87,60.80,9.36,0,13.59,164.62,0,164.62,False,2332.4,1500
2026-03,Mar 2026,2026-02-04,2026-03-06,24.5,289,79.27,62.66,9.36,0,13.61,164.90,0,164.90,True,,
2026-04,Apr 2026,2026-03-07,2026-04-05,17.6,228,56.92,49.53,9.36,0,10.42,126.23,150,0.00,False,2374.5,1600
2026-05,May 2026,2026-04-06,2026-05-06,21.4,263,69.23,57.65,9.36,0,12.26,148.50,0,148.50,True,,
2026-06,Jun 2026,2026-05-07,2026-06-04,4.8,-20,15.53,-4.38,9.36,0.50,1.90,22.91,0,22.91,False,2400.7,1647
2026-07,Jul 2026,2026-06-05,2026-07-06,14.0,129,45.29,28.67,9.44,0,7.50,90.90,150,0.00,True,,
2026-08,Aug 2026,2026-07-07,2026-08-04,31.8,486,102.87,111.70,9.76,0,20.19,244.52,0,244.52,False,2446.5,1766
